atc_code	atc_name	snomed_code	snomed_label	ddd	uom	adm_r	note
A02BC05	esomeprazole	396047003	Esomeprazole (substance)	30	mg	O	NA
A02BC05	esomeprazole	396047003	Esomeprazole (substance)	30	mg	P	NA
A02BC06	dexlansoprazole	441863009	Dexlansoprazole (substance)	30	mg	O	NA
A02BX01	carbenoxolone	387273006	Carbenoxolone (substance)	0.15	g	O	NA
A02BX02	sucralfate	387387008	Sucralfate (substance)	4	g	O	NA
A02BX03	pirenzepine	398669004	Pirenzepine (substance)	0.1	g	O	NA
A02BX03	pirenzepine	398669004	Pirenzepine (substance)	20	mg	P	NA
A02BX05	bismuth subcitrate	735064002	Bismuth subcitrate potassium (substance)	0.48	g	O	NA
A02BX14	rebamipide	1172393005	Rebamipide (substance)	0.3	g	O	NA
A03AA01	oxyphencyclimine	27499006	Oxyphencyclimine (substance)	20	mg	O	NA
A03AA04	mebeverine	419830007	Mebeverine (substance)	0.3	g	O	NA
A03AA05	trimebutine	698184001	Trimebutine (substance)	0.6	g	O	NA
A03AA07	dicycloverine	372732007	Dicycloverine (substance)	80	mg	O	NA
A03AA07	dicycloverine	372732007	Dicycloverine (substance)	80	mg	P	NA
A03AB01	benzilone	71380009	Benzarone (substance)	70	mg	O	NA
A03AB02	glycopyrronium bromide	387122008	Glycopyrronium bromide (substance)	3	mg	O	NA
A03AB02	glycopyrronium bromide	387122008	Glycopyrronium bromide (substance)	0.3	mg	P	NA
A03AB02	glycopyrronium bromide	387122008	Glycopyrronium bromide (substance)	3	mg	R	NA
A03AB03	oxyphenonium	69506001	Oxyphenonium (substance)	25	mg	O	NA
A03AB04	penthienate	19524002	Penthienate (substance)	15	mg	O	NA
A03AB05	propantheline	372721007	Propantheline (substance)	60	mg	O	NA
A03AB05	propantheline	372721007	Propantheline (substance)	60	mg	P	NA
A03AB07	methantheline	2796008	Methantheline (substance)	0.15	g	O	NA
A03AB08	tridihexethyl	36872003	Tridihexethyl (substance)	0.125	g	O	NA
A03AB09	isopropamide	20468007	Isopropamide (substance)	10	mg	O	NA
A03AB10	hexocyclium	373763000	Hexocyclium (substance)	0.15	g	O	NA
A03AB11	poldine	386985000	Poldine (substance)	12	mg	O	NA
A03AB12	mepenzolate	372834001	Mepenzolate (substance)	0.1	g	O	NA
A03AB14	pipenzolate	387425004	Pipenzolate (substance)	20	mg	O	NA
A03AD01	papaverine	372784001	Papaverine (substance)	0.1	g	O	NA
A03AD01	papaverine	372784001	Papaverine (substance)	0.1	g	P	NA
A03AD02	drotaverine	719933003	Drotaverine (substance)	0.1	g	O	NA
A03AD02	drotaverine	719933003	Drotaverine (substance)	0.1	g	P	NA
A03AE01	alosetron	116509006	Alosetron (substance)	1	mg	O	NA
A03AX04	pinaverium	698023008	Pinaverium bromide (substance)	0.15	g	O	NA
A03AX13	silicones	13652007	Silicone (substance)	0.5	g	O	NA
A03BA01	atropine	372832002	Atropine (substance)	1.5	mg	O	NA
A03BA01	atropine	372832002	Atropine (substance)	1.5	mg	P	NA
A03BA03	hyoscyamine	372757002	Hyoscyamine (substance)	1.2	mg	O	NA
A03BA04	belladonna total alkaloids	391816007	Belladonna alkaloid (substance)	1	mg	O	NA
A03BB01	butylscopolamine	1156229000	Butylscopolamine (substance)	60	mg	O	NA
A03BB01	butylscopolamine	1156229000	Butylscopolamine (substance)	60	mg	P	NA
A03BB01	butylscopolamine	1156229000	Butylscopolamine (substance)	60	mg	R	NA
A03BB03	methylscopolamine	372690005	Methscopolamine (substance)	12	mg	O	NA
A03BB03	methylscopolamine	372690005	Methscopolamine (substance)	12	mg	P	NA
A03FA01	metoclopramide	372776000	Metoclopramide (substance)	30	mg	O	NA
A03FA01	metoclopramide	372776000	Metoclopramide (substance)	30	mg	P	NA
A03FA01	metoclopramide	372776000	Metoclopramide (substance)	30	mg	R	NA
A03FA02	cisapride	387164008	Cisapride (substance)	30	mg	O	NA
A03FA02	cisapride	387164008	Cisapride (substance)	30	mg	R	NA
A03FA03	domperidone	387181004	Domperidone (substance)	30	mg	O	NA
A03FA03	domperidone	387181004	Domperidone (substance)	30	mg	P	NA
A03FA03	domperidone	387181004	Domperidone (substance)	0.12	g	R	NA
A03FA05	alizapride	724156007	Alizapride (substance)	0.15	g	O	NA
A03FA05	alizapride	724156007	Alizapride (substance)	0.15	g	P	NA
A04AA01	ondansetron	372487007	Ondansetron (substance)	16	mg	O	NA
A04AA01	ondansetron	372487007	Ondansetron (substance)	16	mg	P	NA
A04AA01	ondansetron	372487007	Ondansetron (substance)	16	mg	R	NA
A04AA02	granisetron	372489005	Granisetron (substance)	2	mg	O	NA
A04AA02	granisetron	372489005	Granisetron (substance)	3	mg	P	NA
A04AA02	granisetron	372489005	Granisetron (substance)	3.1	mg	TD	NA
A04AA03	tropisetron	395917006	Tropisetron (substance)	5	mg	O	NA
A04AA03	tropisetron	395917006	Tropisetron (substance)	5	mg	P	NA
A04AA04	dolasetron	372488002	Dolasetron (substance)	0.2	g	O	NA
A04AA04	dolasetron	372488002	Dolasetron (substance)	0.1	g	P	NA
A04AA05	palonosetron	404852008	Palonosetron (substance)	0.5	mg	O	NA
A04AA05	palonosetron	404852008	Palonosetron (substance)	0.25	mg	P	NA
A04AD05	metopimazine	772344001	Metopimazine (substance)	15	mg	O	NA
A04AD05	metopimazine	772344001	Metopimazine (substance)	15	mg	P	NA
A04AD11	nabilone	395806009	Nabilone (substance)	3	mg	O	NA
A04AD12	aprepitant	409205009	Aprepitant (substance)	165	mg	O	NA
A04AD12	aprepitant	409205009	Aprepitant (substance)	150	mg	P	Refers to fosaprepitant
A04AD14	rolapitant	715254008	Rolapitant (substance)	0.18	g	O	NA
A05AA01	chenodeoxycholic acid	82490009	Chenodeoxycholic acid (substance)	1	g	O	NA
A05AA02	ursodeoxycholic acid	41143004	Ursodeoxycholic acid (substance)	0.75	g	O	NA
A05AA04	obeticholic acid	720257002	Obeticholic acid (substance)	10	mg	O	NA
A06AA01	liquid paraffin	111089004	Mineral oil (substance)	15	g	O	NA
A06AA02	docusate sodium	387088007	Docusate sodium (substance)	0.15	g	O	NA
A06AB01	oxyphenisatine	346604000	Oxyphenisatin (substance)	10	mg	O	NA
A06AB02	bisacodyl	387075009	Bisacodyl (substance)	10	mg	O	NA
A06AB02	bisacodyl	387075009	Bisacodyl (substance)	10	mg	R	NA
A06AB03	dantron	387364000	Dantron (substance)	50	mg	O	NA
A06AB04	phenolphthalein	19595005	Phenolphthalein (substance)	0.2	g	O	NA
A06AB05	castor oil	34239008	Castor oil (substance)	20	g	O	NA
A06AB08	sodium picosulfate	395881001	Sodium picosulfate (substance)	5	mg	O	NA
A06AC01	ispaghula (psylla seeds)	54141007	Psyllium seed (substance)	7	g	O	NA
A06AC03	sterculia	42033003	Sterculia gum (substance)	8	g	O	NA
A06AC06	methylcellulose	387131008	Methylcellulose (substance)	2	g	O	NA
A06AC08	polycarbophil calcium	412105005	Calcium polycarbophil (substance)	2.5	g	O	NA
A06AD01	magnesium carbonate	387401007	Magnesium carbonate (substance)	7	g	O	NA
A06AD02	magnesium oxide	66389008	Magnesium oxide (substance)	7	g	O	NA
A06AD04	magnesium sulfate	387202002	Magnesium sulfate (substance)	7	g	O	NA
A06AD11	lactulose	273945008	Lactulose (substance)	6.7	g	O	NA
A06AD12	lactitol	418929008	Lactitol (substance)	10	g	O	NA
A06AD15	macrogol	8030004	Macrogol (substance)	10	g	O	NA
A06AD18	sorbitol	19839007	Sorbitol (substance)	10	g	O	NA
A06AH01	methylnaltrexone bromide	433519000	Methylnaltrexone bromide (substance)	6	mg	P	NA
A06AH03	naloxegol	719411008	Naloxegol (substance)	25	mg	O	NA
A06AH05	naldemedine	733465009	Naldemedine (substance)	0.2	mg	O	NA
A06AX04	linaclotide	703126002	Linaclotide (substance)	0.29	mg	O	NA
A06AX05	prucalopride	699273008	Prucalopride (substance)	2	mg	O	NA
A06AX06	tegaserod	417025001	Tegaserod (substance)	12	mg	O	NA
A06AX07	plecanatide	725134000	Plecanatide (substance)	3	mg	O	NA
A07AA01	neomycin	373528008	Neomycin (substance)	5	g	O	NA
A07AA02	nystatin	387048002	Nystatin (substance)	1.5	MU	O	NA
A07AA03	natamycin	372712006	Natamycin (substance)	0.3	g	O	NA
A07AA05	polymyxin B	372824005	Polymyxin B (substance)	3	MU	O	NA
A07AA06	paromomycin	38044001	Paromomycin (substance)	3	g	O	NA
A07AA07	amphotericin B	77703004	Amphotericin B (substance)	0.4	g	O	NA
A07AA08	kanamycin	387396008	Kanamycin (substance)	3	g	O	NA
A07AA09	vancomycin	372735009	Vancomycin (substance)	2	g	O	NA
A07AA10	colistin	387412007	Colistin (substance)	9	MU	O	NA
A07AA11	rifaximin	412553001	Rifaximin (substance)	0.6	g	O	NA
A07AA12	fidaxomicin	703664004	Fidaxomicin (substance)	0.4	g	O	NA
A07AB02	phthalylsulfathiazole	16359004	Phthalylsulfathiazole (substance)	9	g	O	NA
A07AB03	sulfaguanidine	387500006	Sulfaguanidine (substance)	4	g	O	NA
A07AC01	miconazole	372738006	Miconazole (substance)	1	g	O	NA
A07AX03	nifuroxazide	703471002	Nifuroxazide (substance)	0.6	g	O	NA
A07BA01	medicinal charcoal	32519007	Activated charcoal (substance)	5	g	O	NA
A07DA01	diphenoxylate	15052009	Diphenoxylate (substance)	15	mg	O	NA
A07DA02	opium	21919007	Opium (substance)	0.1	g	O	NA
A07DA03	loperamide	387040009	Loperamide (substance)	10	mg	O	NA
A07DA05	loperamide oxide	1269134006	Loperamide oxide (substance)	5	mg	O	NA
A07DA06	eluxadoline	716119001	Eluxadoline (substance)	0.2	g	O	NA
A07EA06	budesonide	395726003	Budesonide (substance)	9	mg	O	NA
A07EA06	budesonide	395726003	Budesonide (substance)	2	mg	SL	NA
A07EB01	cromoglicic acid	372672009	Cromoglicic acid (substance)	0.8	g	O	NA
A07EC01	sulfasalazine	387248006	Sulfasalazine (substance)	2	g	O	NA
A07EC01	sulfasalazine	387248006	Sulfasalazine (substance)	2	g	R	NA
A07EC02	mesalazine	387501005	Mesalazine (substance)	1.5	g	O	NA
A07EC02	mesalazine	387501005	Mesalazine (substance)	1.5	g	R	NA
A07EC03	olsalazine	386890003	Olsalazine (substance)	1	g	O	NA
A07EC04	balsalazide	420557005	Balsalazide (substance)	6.75	g	O	NA
A07FA02	saccharomyces boulardii	700441006	Saccharomyces boulardii (substance)	1	g	O	NA
A08AA01	phentermine	373343009	Phentermine (substance)	15	mg	O	NA
A08AA02	fenfluramine	387451002	Fenfluramine (substance)	0.12	g	O	NA
A08AA03	amfepramone	387303009	Amfepramone (substance)	75	mg	O	NA
A08AA04	dexfenfluramine	412366002	Dexfenfluramine (substance)	30	mg	O	NA
A08AA05	mazindol	387232005	Mazindol (substance)	1	mg	O	NA
A08AA10	sibutramine	386838007	Sibutramine (substance)	10	mg	O	NA
A08AB01	orlistat	387007000	Orlistat (substance)	0.36	g	O	NA
A08AX01	rimonabant	422794008	Rimonabant (substance)	20	mg	O	NA
A09AB01	glutamic acid hydrochloride	38909000	Glutamic acid hydrochloride (substance)	1.5	g	O	NA
A09AB02	betaine hydrochloride	391841000	Betaine hydrochloride (substance)	1	g	O	NA
A09AB04	citric acid	75399008	Citric acid (substance)	2	g	O	NA
A10AB01	insulin (human)	96367001	Human insulin (substance)	40	U	P	NA
A10AB02	insulin (beef)	4700006	Beef insulin (substance)	40	U	P	NA
A10AB03	insulin (pork)	67296003	Pork insulin (substance)	40	U	P	NA
A10AB04	insulin lispro	412210000	Insulin lispro (substance)	40	U	P	NA
A10AB05	insulin aspart	325072002	Insulin aspart (substance)	40	U	P	NA
A10AB06	insulin glulisine	411530000	Insulin glulisine (substance)	40	U	P	NA
A10AC01	insulin (human)	96367001	Human insulin (substance)	40	U	P	NA
A10AC02	insulin (beef)	4700006	Beef insulin (substance)	40	U	P	NA
A10AC03	insulin (pork)	67296003	Pork insulin (substance)	40	U	P	NA
A10AD01	insulin (human)	96367001	Human insulin (substance)	40	U	P	NA
A10AD02	insulin (beef)	4700006	Beef insulin (substance)	40	U	P	NA
A10AD03	insulin (pork)	67296003	Pork insulin (substance)	40	U	P	NA
A10AD04	insulin lispro	412210000	Insulin lispro (substance)	40	U	P	NA
A10AD05	insulin aspart	325072002	Insulin aspart (substance)	40	U	P	NA
A10AE01	insulin (human)	96367001	Human insulin (substance)	40	U	P	NA
A10AE02	insulin (beef)	4700006	Beef insulin (substance)	40	U	P	NA
A10AE03	insulin (pork)	67296003	Pork insulin (substance)	40	U	P	NA
A10AE04	insulin glargine	411529005	Insulin glargine (substance)	40	U	P	NA
A10AE05	insulin detemir	414515005	Insulin detemir (substance)	40	U	P	NA
A10AE06	insulin degludec	710281005	Insulin degludec (substance)	40	U	P	NA
A10AF01	insulin (human)	96367001	Human insulin (substance)	15	mg	Inhal.powder	NA
A10BA01	phenformin	362949009	Phenformin (substance)	0.1	g	O	NA
A10BA02	metformin	372567009	Metformin (substance)	2	g	O	NA
A10BB01	glibenclamide	384978002	Glibenclamide (substance)	7	mg	O	microcryst.substance
A10BB01	glibenclamide	384978002	Glibenclamide (substance)	10	mg	O	NA
A10BB02	chlorpropamide	386991003	Chlorpropamide (substance)	0.375	g	O	NA
A10BB03	tolbutamide	373481003	Tolbutamide (substance)	1.5	g	O	NA
A10BB04	glibornuride	419384001	Glibornuride (substance)	38	mg	O	NA
A10BB05	tolazamide	387186009	Tolazamide (substance)	0.5	g	O	NA
A10BB07	glipizide	387143009	Glipizide (substance)	10	mg	O	NA
A10BB08	gliquidone	395732008	Gliquidone (substance)	60	mg	O	NA
A10BB09	gliclazide	395731001	Gliclazide (substance)	60	mg	O	NA
A10BB12	glimepiride	386966003	Glimepiride (substance)	2	mg	O	NA
A10BB31	acetohexamide	387210001	Acetohexamide (substance)	0.5	g	O	NA
A10BC01	glymidine	419090008	Glymidine (substance)	1	g	O	NA
A10BF01	acarbose	386965004	Acarbose (substance)	0.3	g	O	NA
A10BF02	miglitol	109071007	Miglitol (substance)	0.3	g	O	NA
A10BF03	voglibose	1163442006	Voglibose (substance)	0.6	mg	O	NA
A10BG01	troglitazone	386967007	Troglitazone (substance)	0.4	g	O	NA
A10BG02	rosiglitazone	395869000	Rosiglitazone (substance)	6	mg	O	NA
A10BG03	pioglitazone	395828009	Pioglitazone (substance)	30	mg	O	NA
A10BH01	sitagliptin	423307000	Sitagliptin (substance)	0.1	g	O	NA
A10BH02	vildagliptin	428611002	Vildagliptin (substance)	0.1	g	O	NA
A10BH03	saxagliptin	443087004	Saxagliptin (substance)	5	mg	O	NA
A10BH04	alogliptin	702799001	Alogliptin (substance)	25	mg	O	NA
A10BH05	linagliptin	702798009	Linagliptin (substance)	5	mg	O	NA
A10BJ01	exenatide	416859008	Exenatide (substance)	0.286	mg	P	depot inj
A10BJ01	exenatide	416859008	Exenatide (substance)	15	mcg	P	NA
A10BJ02	liraglutide	444828003	Liraglutide (substance)	1.5	mg	P	NA
A10BJ03	lixisenatide	708808004	Lixisenatide (substance)	20	mcg	P	NA
A10BJ04	albiglutide	703129009	Albiglutide (substance)	5.7	mg	P	NA
A10BJ05	dulaglutide	714080005	Dulaglutide (substance)	0.16	mg	P	NA
A10BJ06	semaglutide	764283003	Semaglutide (substance)	0.11	mg	P	NA
A10BK01	dapagliflozin	703674001	Dapagliflozin (substance)	10	mg	O	NA
A10BK02	canagliflozin	703676004	Canagliflozin (substance)	0.2	g	O	NA
A10BK03	empagliflozin	703894008	Empagliflozin (substance)	17.5	mg	O	NA
A10BK04	ertugliflozin	764274008	Ertugliflozin (substance)	10	mg	O	NA
A10BX02	repaglinide	386964000	Repaglinide (substance)	4	mg	O	NA
A10BX03	nateglinide	387070004	Nateglinide (substance)	0.36	g	O	NA
A10BX06	benfluorex	719681008	Benfluorex (substance)	0.45	g	O	NA
A11CA01	retinol (vit A)	82622003	Retinol (substance)	50	TU	O	NA
A11CA01	retinol (vit A)	82622003	Retinol (substance)	50	TU	P	NA
A11CC02	dihydrotachysterol	126235007	Dihydrotachysterol (substance)	1	mg	O	NA
A11CC03	alfacalcidol	11984007	Alfacalcidol (substance)	1	mcg	O	NA
A11CC03	alfacalcidol	11984007	Alfacalcidol (substance)	1	mcg	P	NA
A11CC04	calcitriol	259333003	Calcitriol (substance)	1	mcg	O	NA
A11CC04	calcitriol	259333003	Calcitriol (substance)	1	mcg	P	NA
A11CC05	colecalciferol	18414002	Colecalciferol (substance)	20	mcg	O	NA
A11DA01	thiamine (vit B1)	259659006	Thiamine (substance)	50	mg	O	NA
A11DA01	thiamine (vit B1)	259659006	Thiamine (substance)	50	mg	P	NA
A11GA01	ascorbic acid (vit C)	43706004	Ascorbic acid (substance)	0.2	g	O	NA
A11GA01	ascorbic acid (vit C)	43706004	Ascorbic acid (substance)	0.2	g	P	NA
A11HA01	nicotinamide	173196005	Nicotinamide (substance)	0.15	g	O	NA
A11HA02	pyridoxine (vit B6)	430469009	Pyridoxine (substance)	0.16	g	O	NA
A11HA02	pyridoxine (vit B6)	430469009	Pyridoxine (substance)	0.16	g	P	NA
A12AA01	calcium phosphate	44044007	Calcium phosphate (substance)	2	g	O	NA
A12AA02	calcium glubionate	32445001	Calcium glubionate (substance)	2.75	g	P	NA
A12AA03	calcium gluconate	387292008	Calcium gluconate (substance)	3	g	O	NA
A12AA03	calcium gluconate	387292008	Calcium gluconate (substance)	3	g	P	NA
A12AA04	calcium carbonate	387307005	Calcium carbonate (substance)	3	g	O	NA
A12AA05	calcium lactate	387217003	Calcium lactate (substance)	2	g	O	NA
A12AA06	calcium lactate gluconate	422232005	Calcium lactate gluconate (substance)	3	g	O	equivalent to 0.5 g Ca2+
A12AA07	calcium chloride	387377009	Calcium chloride (substance)	0.2	g	P	NA
A12AA10	calcium glucoheptonate	71714008	Calcium gluceptate (substance)	3	g	O	NA
A12BA01	potassium chloride	8631001	Potassium chloride (substance)	3	g	O	NA
A12BA02	potassium citrate	387450001	Potassium citrate (substance)	4	g	O	NA
A12CA01	sodium chloride	387390002	Sodium chloride (substance)	1	g	O	NA
A12CB01	zinc sulfate	387367007	Zinc sulfate (substance)	0.6	g	O	NA
A12CC01	magnesium chloride	45733002	Magnesium chloride (substance)	2.5	g	O	NA
A12CC01	magnesium chloride	45733002	Magnesium chloride (substance)	0.8	g	P	NA
A12CC02	magnesium sulfate	387202002	Magnesium sulfate (substance)	3	g	O	NA
A12CC02	magnesium sulfate	387202002	Magnesium sulfate (substance)	1	g	P	NA
A12CC03	magnesium gluconate	116126005	Magnesium gluconate (substance)	5	g	O	NA
A12CC04	magnesium citrate	387052002	Magnesium citrate (substance)	2	g	O	NA
A12CD01	sodium fluoride	6910009	Sodium fluoride (substance)	88	mg	O	40 mg fluoride
A12CD02	sodium monofluorophosphate	83873000	Sodium monofluorophosphate (substance)	0.152	g	O	20 mg fluoride
A12CE01	sodium selenate	91007007	Sodium selenate (substance)	0.2	mg	O	Se
A12CE02	sodium selenite	96277001	Sodium selenite (substance)	0.2	mg	O	Se
A12CE02	sodium selenite	96277001	Sodium selenite (substance)	0.2	mg	P	NA
A14AA02	stanozolol	126103004	Stanozolol (substance)	5	mg	O	NA
A14AA02	stanozolol	126103004	Stanozolol (substance)	3.5	mg	P	NA
A14AA03	metandienone	126126006	Methandrostenolone (substance)	5	mg	O	NA
A14AA04	metenolone	96346001	Mesterolone (substance)	10	mg	O	NA
A14AA04	metenolone	96346001	Mesterolone (substance)	7	mg	P	NA
A14AA05	oxymetholone	126101002	Oxymetholone (substance)	0.25	g	O	NA
A14AB01	nandrolone	126171003	Nandrolone (substance)	2	mg	P	NA
A14AB02	ethylestrenol	126170002	Ethylestrenol (substance)	2	mg	O	NA
A16AA01	levocarnitine	372601001	Levocarnitine (substance)	2	g	O	NA
A16AA01	levocarnitine	372601001	Levocarnitine (substance)	2	g	P	NA
A16AA04	mercaptamine	373457005	Mercaptamine (substance)	2	g	O	NA
A16AA05	carglumic acid	412295009	Carglumic acid (substance)	0.2	g	O	NA
A16AA06	betaine	43356007	Betaine (substance)	6	g	O	NA
A16AB02	imiglucerase	386968002	Imiglucerase (substance)	300	U	P	NA
A16AB03	agalsidase alfa	424905009	Agalsidase alfa (substance)	1	mg	P	NA
A16AB04	agalsidase beta	424725004	Agalsidase beta (substance)	5	mg	P	NA
A16AB05	laronidase	409264006	Laronidase (substance)	1	TU	P	NA
A16AB06	sacrosidase	108962007	Sacrosidase (substance)	68	TU	O	NA
A16AB07	alglucosidase alfa	703393008	Alglucosidase alfa (substance)	0.1	g	P	NA
A16AB10	velaglucerase alfa	444773003	Velaglucerase alfa (substance)	300	U	P	NA
A16AB12	elosulfase alfa	702395005	Elosulfase alfa (substance)	20	mg	P	NA
A16AB14	sebelipase alfa	719375007	Sebelipase alfa (substance)	5	mg	P	NA
A16AB17	cerliponase alfa	734039005	Cerliponase alfa (substance)	21	mg	P	NA
A16AX03	sodium phenylbutyrate	387058003	Sodium phenylbutyrate (substance)	20	g	O	NA
A16AX04	nitisinone	385996000	Nitisinone (substance)	20	mg	O	NA
A16AX05	zinc acetate	395952003	Zinc acetate (substance)	0.15	g	O	NA
A16AX06	miglustat	412296005	Miglustat (substance)	0.3	g	O	NA
A16AX08	teduglutide	710807004	Teduglutide (substance)	5	mg	P	NA
A16AX09	glycerol phenylbutyrate	782573007	Glycerol phenylbutyrate (substance)	15	g	O	NA
A16AX10	eliglustat	714006001	Eliglustat (substance)	0.168	g	O	NA
A16AX12	trientine	373456001	Trientine (substance)	0.45	g	O	Expressed as trientine
A16AX14	migalastat	765340000	Migalastat (substance)	61.5	mg	O	NA
A16AX15	telotristat	733734004	Telotristat (substance)	0.75	g	O	NA
B01AA01	dicoumarol	79209008	Dicoumarol (substance)	0.1	g	O	NA
B01AA02	phenindione	387260007	Phenindione (substance)	0.1	g	O	NA
B01AA03	warfarin	372756006	Warfarin (substance)	7.5	mg	O	NA
B01AA03	warfarin	372756006	Warfarin (substance)	7.5	mg	P	NA
B01AA04	phenprocoumon	59488002	Phenprocoumon (substance)	3	mg	O	NA
B01AA07	acenocoumarol	387457003	Acenocoumarol (substance)	5	mg	O	NA
B01AA08	ethyl biscoumacetate	51739000	Ethyl biscoumacetate (substance)	0.6	g	O	NA
B01AB01	heparin	372877000	Heparin (substance)	10	TU	P	NA
B01AB02	antithrombin III	34086003	Antithrombin III (substance)	2.1	TU	P	NA
B01AB04	dalteparin	372563008	Dalteparin (substance)	2.5	TU	P	anti Xa
B01AB05	enoxaparin	372562003	Enoxaparin (substance)	2	TU	P	anti Xa
B01AB06	nadroparin	699946002	Nadroparin (substance)	2.85	TU	P	anti Xa
B01AB08	reviparin	395998002	Reviparin (substance)	1.43	TU	P	anti Xa
B01AB09	danaparoid	372564002	Danaparoid (substance)	1.5	TU	P	anti Xa
B01AB10	tinzaparin	412608008	Tinzaparin (substance)	3.5	TU	P	anti Xa
B01AB11	sulodexide	698844007	Sulodexide (substance)	500	LSU	O	LSU = lipoprotein lipase releasing units
B01AB11	sulodexide	698844007	Sulodexide (substance)	500	LSU	P	LSU = lipoprotein lipase releasing units
B01AB12	bemiparin	410964003	Bemiparin (substance)	2.5	TU	P	NA
B01AC04	clopidogrel	386952008	Clopidogrel (substance)	75	mg	O	NA
B01AC05	ticlopidine	386950000	Ticlopidine (substance)	0.5	g	O	NA
B01AC07	dipyridamole	387371005	Dipyridamole (substance)	0.4	g	O	NA
B01AC07	dipyridamole	387371005	Dipyridamole (substance)	0.2	g	P	NA
B01AC08	carbasalate calcium	111122008	Calcium carbaspirin (substance)	1	tablet	O	NA
B01AC11	iloprost	395740002	Iloprost (substance)	0.15	mg	Inhal.solution	NA
B01AC11	iloprost	395740002	Iloprost (substance)	50	mcg	P	NA
B01AC13	abciximab	386951001	Abciximab (substance)	25	mg	P	NA
B01AC16	eptifibatide	386998009	Eptifibatide (substance)	0.2	g	P	NA
B01AC17	tirofiban	386953003	Tirofiban (substance)	10	mg	P	NA
B01AC18	triflusal	698872000	Triflusal (substance)	0.6	g	O	NA
B01AC21	treprostinil	443570007	Treprostinil (substance)	4.3	mg	P	NA
B01AC22	prasugrel	443129001	Prasugrel (substance)	10	mg	O	NA
B01AC23	cilostazol	116087001	Cilostazol (substance)	0.2	g	O	NA
B01AC24	ticagrelor	698805004	Ticagrelor (substance)	0.18	g	O	NA
B01AC25	cangrelor	716118009	Cangrelor (substance)	50	mg	P	NA
B01AC26	vorapaxar	708718003	Vorapaxar (substance)	2.08	mg	O	NA
B01AC27	selexipag	717359004	Selexipag (substance)	1.8	mg	O	NA
B01AD01	streptokinase	395889004	Streptokinase (substance)	1.5	MU	P	NA
B01AD02	alteplase	387152000	Alteplase (substance)	0.1	g	P	NA
B01AD03	anistreplase	386958007	Anistreplase (substance)	30	U	P	NA
B01AD04	urokinase	59082006	Urokinase (substance)	3	MU	P	NA
B01AD07	reteplase	386957002	Reteplase (substance)	20	U	P	NA
B01AD11	tenecteplase	387066007	Tenecteplase (substance)	40	mg	P	NA
B01AE01	desirudin	407117009	Desirudin (substance)	30	mg	P	NA
B01AE02	lepirudin	386955005	Lepirudin (substance)	0.25	g	P	NA
B01AE03	argatroban	116508003	Argatroban (substance)	0.2	g	P	NA
B01AE05	ximelagatran	415853004	Ximelagatran (substance)	48	mg	O	NA
